id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28518946,Spacious room in charming flat,6540102,Liam,,Saint-Gilles,50.82782,4.35085,Private room,20,1,86,2019-10-07,2.62,3,30
28532591,Grand appartement lumineux sur l’Avenue Louise,143720143,Arthur,,Bruxelles,50.81748,4.37182,Entire home/apt,130,2,28,2021-04-26,0.82,1,180
28552902,Renovated Urban Design Apartment with Terrace,144404601,Frank,,Schaerbeek,50.86729,4.37245,Entire home/apt,85,3,44,2019-06-13,1.31,1,193
28559195,Appartement de grande qualité,210305912,Badri,,Uccle,50.81475,4.34011,Entire home/apt,48,2,103,2019-09-19,3.07,1,352
28559556,Leïla's Garden,29268963,Christophe,,Woluwe-Saint-Lambert,50.85083,4.41421,Private room,39,3,25,2020-10-02,0.74,4,86
28560700,La résidence Emile Bouilliot,65514109,Alexis,,Ixelles,50.81968,4.3534,Entire home/apt,60,5,2,2019-12-07,0.07,1,9
28570150,Matteo's Balcony,29268963,Christophe,,Woluwe-Saint-Lambert,50.84881,4.41503,Private room,39,3,15,2019-09-30,0.45,4,86
28578006,BusinessCentreBrussels,215683421,Aziz,,Bruxelles,50.85972,4.34788,Entire home/apt,59,2,51,2019-07-28,1.50,1,131
28581686,Bischoffsheim - Bruxelles,147195928,Lucia,,Bruxelles,50.85165,4.36544,Private room,55,2,8,2019-04-11,0.28,1,365
28590679,Appartement 2 chambres Forest Domaine,24444714,Cedric,,Forest,50.81758,4.32483,Private room,86,3,0,,,37,365
28590746,IDEAL ROOM 0D,119456564,Dimitrios,,Anderlecht,50.82914,4.30212,Entire home/apt,39,1,15,2019-12-02,0.61,2,136
28597688,Cosy appartment in Auderghem,215825524,Candice,,Auderghem,50.81451,4.4296,Entire home/apt,60,2,8,2020-10-23,0.46,1,98
28599667,Cozy and lovely apartment in the center of brussel,215844063,Philippe,,Bruxelles,50.84808,4.35007,Entire home/apt,37,6,106,2020-10-20,3.18,1,183
28602629,Cosy appartment with parking and garden,215868065,Serife,,Bruxelles,50.89528,4.35937,Entire home/apt,39,1,273,2020-03-13,8.00,2,16
28631240,"Joli studio autonome tout équipé, maison de style",11421346,Yvette,,Forest,50.81501,4.34441,Entire home/apt,51,3,117,2019-12-04,3.55,2,341
28642862,Appartement dans les jardins à BXL,151507847,Amandine,,Uccle,50.7934,4.33442,Entire home/apt,120,2,9,2019-12-28,0.29,2,363
28655779,bright private room ready to welcome you ☺,157057351,Ma.,,Ixelles,50.81636,4.38662,Private room,35,2,31,2019-05-19,1.04,1,6
28658786,"Nice APARTMENT - Brussels, Bourse and Grand Place",216235026,Joseph,,Bruxelles,50.84848,4.35068,Entire home/apt,58,1,136,2020-01-31,4.09,2,22
28678938,Maison de ville avec terrasse,5093501,Pauline,,Bruxelles,50.85214,4.3454,Entire home/apt,37,8,8,2019-11-17,0.26,1,0
28682363,B&B Brigitte & Alain - Chambre verso,213473029,Brigitte,,Forest,50.80774,4.3284,Private room,90,1,0,,,2,313
28682368,B&B Brigitte & Alain - Chambre recto,213473029,Brigitte,,Forest,50.80728,4.32962,Private room,90,1,0,,,2,323
28703245,maison de charme à woluwe saint Lambert 2 chambres,3015366,Géraldine,,Woluwe-Saint-Lambert,50.84792,4.42583,Entire home/apt,120,2,19,2019-09-10,0.58,1,146
28704341,Little room with a sink and private shower,7478698,Petra,,Saint-Gilles,50.82778,4.35452,Private room,35,2,43,2019-10-20,1.32,1,0
28731105,"Bed&breakfast veritable, calm & charm + sdb privée",2524919,Isabelle,,Uccle,50.79445,4.35523,Private room,50,1,21,2019-10-30,0.62,2,362
28738629,Stylish and Bright apartment near European area,985178,Pierre & David,,Etterbeek,50.83295,4.38243,Entire home/apt,60,14,82,2019-11-10,2.45,3,64
28750401,Room in Laeken,216855080,Heike,,Bruxelles,50.88869,4.34182,Private room,30,2,17,2020-03-07,0.62,3,1
28756271,Great duplex on the Royal Square,41303784,Derk,,Bruxelles,50.84043,4.35862,Entire home/apt,77,1,85,2020-07-12,2.54,3,276
28779370,LOVELY COMPLETE APPARTMENT,766382,Lucile,,Schaerbeek,50.87324,4.38095,Entire home/apt,59,2,34,2019-07-07,1.01,2,162
28779811,Luxury apartment at European quarter,119919413,Bruna,,Bruxelles,50.84604,4.37766,Entire home/apt,50,14,41,2020-02-05,1.29,1,10
28831612,Lovely bedroom in the European District - Ixelles,17456740,Romina,,Ixelles,50.83553,4.37741,Private room,37,1,148,2019-12-06,4.45,1,51
28857140,Chambre privée au calme avec petit déjeuner !,90985672,Patricia,,Woluwe-Saint-Lambert,50.85268,4.41958,Private room,40,1,13,2018-10-03,0.38,1,351
28864011,Artist appartement downtown Brussels,12611353,Dorothee,,Bruxelles,50.84738,4.34471,Entire home/apt,68,2,5,2019-04-28,0.18,1,13
28904308,"Luxuous & Extra Comfort with Castle view, Netflix & Parking",27843460,Audrey,,Auderghem,50.81756,4.42961,Entire home/apt,95,3,83,2021-06-26,2.51,1,19
28908376,Retro studio,217903421,David & Nancy,,Bruxelles,50.87819,4.35191,Private room,72,3,6,2020-01-23,0.18,1,126
28909424,"L'Afrique, c'es chic!  ""Abidjan""",2712544,Francesca,,Uccle,50.81329,4.36535,Private room,40,2,23,2019-07-08,0.77,2,89
